Citance Number: 1 | Reference Article:  P98-2143.xml | Citing Article:  A00-1020.xml | Citation Marker Offset:  ['29'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['28','29'] | Citation Text:  <S sid ="28" ssid = "4">Nevertheless, recent results show that knowledge-poor methods perform with amazing acÂ­ curacy (cf.</S><S sid ="29" ssid = "5">(Mitkov, 1998), (Kennedy and Boguraev, 1996) (Kameyama, 1997)).</S> | Reference Offset:  ['137', '138', '8', '11'] | Reference Text:  <S sid ="137" ssid = "62">This result is comparable with the results described in (Baldwin 1997).</S><S sid ="138" ssid = "63">For the training data from the genre of technical manuals, it was rule 5 (see Baldwin 1997) which was most frequently used (39% of the cases, 100% success), followed by rule 8 (33% of the cases, 33% success), rule 7 (11%, 100%), rule I (9%, 100%) and rule 3 (7.4%, 100%).</S><S sid ="8" ssid = "8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell &amp; Brown 1988; Carter 1987; Hobbs 1978; Ingria &amp; Stallard 1989; Lappin &amp; McCord 1990; Lappin &amp; Leass 1994; Mitkov 1994; Rich &amp; LuperFoy 1988; Sidner 1979; Webber 1979).</S><S sid ="11" ssid = "11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin­ guistic knowledge (Baldwin 1997; Dagan &amp; ltai 1990; Kennedy &amp; Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |
Citance Number: 50 | Reference Article:  P98-2143.xml | Citing Article:  W04-0714.xml | Citation Marker Offset:  ['18'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['18'] | Citation Text:  <S sid ="18" ssid = "18">Our method is an inexpensive, fast and reliable procedure for anaphora resolution, which relies on cheaper and more reliable NLP tools such as part- of-speech (POS) tagger and shallow parsers (Baldwin, 1997; FerrÃ¡ndez et al., 1998; Kennedy and Boguraev, 1996; Mitkov, 1998; Yeh and Chen, 2003).</S> | Reference Offset:  ['11', '8', '10', '12'] | Reference Text:  <S sid ="11" ssid = "11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin­ guistic knowledge (Baldwin 1997; Dagan &amp; ltai 1990; Kennedy &amp; Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S><S sid ="8" ssid = "8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell &amp; Brown 1988; Carter 1987; Hobbs 1978; Ingria &amp; Stallard 1989; Lappin &amp; McCord 1990; Lappin &amp; Leass 1994; Mitkov 1994; Rich &amp; LuperFoy 1988; Sidner 1979; Webber 1979).</S><S sid ="10" ssid = "10">While various alternatives have been proposed, making use of e.g. neural networks, a situation se­ mantics framework, or the principles of reasoning with uncertainty (e.g. Connoly et al. 1994; Mitkov 1995; Tin &amp; Akman 1995), there is still a strong need for the development of robust and effective strategies to meet the demands of practical NLP systems, and to enhance further the automatic pro­ cessing of growing language resources.</S><S sid ="12" ssid = "12">Our work is a continuation of these latest trends in the search for inexpensive, fast and reliable procedures for anaph­ ora resolution.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 51 | Reference Article:  P98-2143.xml | Citing Article:  W04-2310.xml | Citation Marker Offset:  ['102'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['102'] | Citation Text:  <S sid ="102" ssid = "7">In most systems ((Mitkov, 1998),(Lappin and Leass, 1994)) the weights that are assigned for different anaphor-antecedent relationships are programmer dependent.</S> | Reference Offset:  ['8', '10', '11', '111'] | Reference Text:  <S sid ="8" ssid = "8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell &amp; Brown 1988; Carter 1987; Hobbs 1978; Ingria &amp; Stallard 1989; Lappin &amp; McCord 1990; Lappin &amp; Leass 1994; Mitkov 1994; Rich &amp; LuperFoy 1988; Sidner 1979; Webber 1979).</S><S sid ="10" ssid = "10">While various alternatives have been proposed, making use of e.g. neural networks, a situation se­ mantics framework, or the principles of reasoning with uncertainty (e.g. Connoly et al. 1994; Mitkov 1995; Tin &amp; Akman 1995), there is still a strong need for the development of robust and effective strategies to meet the demands of practical NLP systems, and to enhance further the automatic pro­ cessing of growing language resources.</S><S sid ="11" ssid = "11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin­ guistic knowledge (Baldwin 1997; Dagan &amp; ltai 1990; Kennedy &amp; Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S><S sid ="111" ssid = "36">3.2 Evaluation B. We carried out a second evaluation of the approach on a different set of sample texts from the genre of technical manuals (47-page Portable Style-Writer User&apos;s Guide (Stylewriter 1994).</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 52 | Reference Article:  P98-2143.xml | Citing Article:  W04-2310.xml | Citation Marker Offset:  2186-2198 | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['11'] | Citation Text:  <S sid ="11" ssid = "11">Often domain-specific heuristics are used for anaphora resolution and fine tuned to perform well on a limited corpus, such as in (Mitkov, 1998).</S> | Reference Offset:  ['11', '8', '1', '10'] | Reference Text:  <S sid ="11" ssid = "11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin­ guistic knowledge (Baldwin 1997; Dagan &amp; ltai 1990; Kennedy &amp; Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S><S sid ="8" ssid = "8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell &amp; Brown 1988; Carter 1987; Hobbs 1978; Ingria &amp; Stallard 1989; Lappin &amp; McCord 1990; Lappin &amp; Leass 1994; Mitkov 1994; Rich &amp; LuperFoy 1988; Sidner 1979; Webber 1979).</S><S sid ="1" ssid = "1">Most traditional approaches to anaphora resolution rely heavily on linguistic and domain knowledge.</S><S sid ="10" ssid = "10">While various alternatives have been proposed, making use of e.g. neural networks, a situation se­ mantics framework, or the principles of reasoning with uncertainty (e.g. Connoly et al. 1994; Mitkov 1995; Tin &amp; Akman 1995), there is still a strong need for the development of robust and effective strategies to meet the demands of practical NLP systems, and to enhance further the automatic pro­ cessing of growing language resources.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 53 | Reference Article:  P98-2143.xml | Citing Article:  W06-2302.xml | Citation Marker Offset:  ['48'] | Citation Marker:  1998 | Citation Offset:  ['48'] | Citation Text:  <S sid ="48" ssid = "32">The approach is presented as a knowledge poor anaphora resolution algorithm (Mitkov R. [1995;1998]), which makes use of POS and NP chunking, it tries to individuate pleonastic â€œitâ€ occurrences, and assigns animacy.</S> | Reference Offset:  ['8', '10', '11', '85'] | Reference Text:  <S sid ="8" ssid = "8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell &amp; Brown 1988; Carter 1987; Hobbs 1978; Ingria &amp; Stallard 1989; Lappin &amp; McCord 1990; Lappin &amp; Leass 1994; Mitkov 1994; Rich &amp; LuperFoy 1988; Sidner 1979; Webber 1979).</S><S sid ="10" ssid = "10">While various alternatives have been proposed, making use of e.g. neural networks, a situation se­ mantics framework, or the principles of reasoning with uncertainty (e.g. Connoly et al. 1994; Mitkov 1995; Tin &amp; Akman 1995), there is still a strong need for the development of robust and effective strategies to meet the demands of practical NLP systems, and to enhance further the automatic pro­ cessing of growing language resources.</S><S sid ="11" ssid = "11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin­ guistic knowledge (Baldwin 1997; Dagan &amp; ltai 1990; Kennedy &amp; Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S><S sid ="85" ssid = "10">For practical reasons, the approach presented does not incorporate syntactic and semantic information (other than a list of domain terms) and it is not real­ istic to expect its performance to be as good as an approach which makes use of syntactic and semantic knowledge in terms of constraints and preferences.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 54 | Reference Article:  P98-2143.xml | Citing Article:  W09-2411.xml | Citation Marker Offset:  ['6'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['6'] | Citation Text:  <S sid ="6" ssid = "6">Some of the limitations of the traditional rule based approaches (Mitkov, 1998) could be overcome by machine learning techniques, which allow automating the acquisition of knowledge from annotated corpora.</S> | Reference Offset:  ['1', '11', '85', '141'] | Reference Text:  <S sid ="1" ssid = "1">Most traditional approaches to anaphora resolution rely heavily on linguistic and domain knowledge.</S><S sid ="11" ssid = "11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin­ guistic knowledge (Baldwin 1997; Dagan &amp; ltai 1990; Kennedy &amp; Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S><S sid ="85" ssid = "10">For practical reasons, the approach presented does not incorporate syntactic and semantic information (other than a list of domain terms) and it is not real­ istic to expect its performance to be as good as an approach which makes use of syntactic and semantic knowledge in terms of constraints and preferences.</S><S sid ="141" ssid = "2">While we acknowledge that most of the monolingual NLP approaches are not automatically transferable (with the same degree of efficiency) to other languages, it would be highly desirable if this could be done with minimal adapta­ tion.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 55 | Reference Article:  P98-2143.xml | Citing Article:  W99-0104.xml | Citation Marker Offset:  ['59'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['59'] | Citation Text:  <S sid ="59" ssid = "22">Other pronominal resolution approaches promote knowledge-poor methods (Mitkov, 1998), eitper by using an ordered set of general heuristics or by combining scores assigned to candidate antecedents.</S> | Reference Offset:  ['15', '98', '5', '11'] | Reference Text:  <S sid ="15" ssid = "1">With a view to avoiding complex syntactic, seman­ tic and discourse analysis (which is vital for real­ world applications), we developed a robust, knowl­ edge-poor approach to pronoun resolution which does not parse and analyse the input in order to identify antecedents of anaphors.</S><S sid ="98" ssid = "23">In order to evaluate the effectiveness of the ap­ proach and to explore if I how far it is superior over the baseline models for anaphora resolution, we also tested the sample text on (i) a Baseline Model which checks agreement in number and gender and, where more than one candidate remains, picks as antece­ dent the most recent subject matching the gender and number of the anaphor (ii) a Baseline Model which picks as antecedent the most recent noun phrase that matches the gender and number of the anaphor.</S><S sid ="5" ssid = "5">Candidates are assigned scores by each indicator and the candidate with the highest score is returned as the antecedent.</S><S sid ="11" ssid = "11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin­ guistic knowledge (Baldwin 1997; Dagan &amp; ltai 1990; Kennedy &amp; Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S> | Discourse Facet:  ['Method_Citation', 'Implication_Citation', 'Aim_Citation', 'Hypothesis_Citation'] | Annotator:  CIST |


Citance Number: 56 | Reference Article:  P98-2143.xml | Citing Article:  W99-0104.xml | Citation Marker Offset:  ['60'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['60'] | Citation Text:  <S sid ="60" ssid = "23">The CogNIAC algorithm {Baldwin, 1997) uses six heuristic rules to resalv.e coreference, whereas the algorithm presented in (Mitkov, 1998) is based on a limited set of preferences (e.g. definitiveness, l cal reiteration or immediate reference).</S> | Reference Offset:  ['11', '25', '52', '103'] | Reference Text:  <S sid ="11" ssid = "11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin­ guistic knowledge (Baldwin 1997; Dagan &amp; ltai 1990; Kennedy &amp; Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S><S sid ="25" ssid = "11">The antecedent indicators have been identi­ fied empirically and are related to salience (definiteness, givenness, indicating verbs, lexical reiteration, section heading preference, &quot;non­ prepositional&quot; noun phrases), to structural matches (collocation, immediate reference), to referential distance or to preference of terms.</S><S sid ="52" ssid = "38">The heuristics used is that in constructions of the form &quot;...(You) V 1 NP ... con (you) V 2 it (con (you) V3 it)&quot;, where con e {and/or/before/after...}, the noun phrase immediately after V 1 is a very likely candidate for antecedent of the pronoun &quot;it&quot; imme­ diately following V2 and is therefore given preference (scores 2 and 0).</S><S sid ="103" ssid = "28">The aggregate score for &quot;the drawer&quot; is 7 (definiteness 1 + givenness 0 + term preference 1 + indicating verbs I + lexical reiteration 0 + section heading 0 + collocation 0 + referential distance 2 + non-prepositional noun phrase 0 + immediate refer­ ence 2 = 7), whereas aggregate score for the most recent matching noun phrase (&quot;the lit paper port LED&quot;) is 4 (definiteness 1 + givenness 0 + term preference I + indicating verbs 0 + lexical reitera­ tion 0 + section heading 0 + collocation 0 + referen­ tial distance 2 + non-prepositional noun phrase 0 + immediate reference 0 = 4).</S> | Discourse Facet:  ['Method_Citation', 'Aim_Citation'] | Annotator:  CIST |


Citance Number: 57 | Reference Article:  P98-2143.xml | Citing Article:  W99-0207.xml | Citation Marker Offset:  ['128'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['128'] | Citation Text:  <S sid ="128" ssid = "4">However, the difficulty of our task can be verified according to the baseline experiment results reported in (Mitkov, 1998).</S><S sid ="129" ssid = "5">Resolving pro­ nouns in English technical manuals to the most re­ cent candidate achieved a success rate of 62.5%, whereas in our experiments only 43.9% of the most recent candidates are resolved correctly as the an­ tecedent (cf.</S> | Reference Offset:  ['99', '118', '148', '2'] | Reference Text:  <S sid ="99" ssid = "24">The success rate of the &quot;Baseline Subject&quot; was 29.2%, whereas the success rate of &quot;Baseline Most Recent NP&quot; was 62.5%.</S><S sid ="118" ssid = "43">In the second experiment we evaluated the ap­ proach from the point of view also of its &quot;critical success rate&quot;.</S><S sid ="148" ssid = "9">Similarly to the evaluation for English, we com­ pared the approach for Polish with (i) a Baseline Model which discounts candidates on the basis of agreement in number and gender and, if there were still competing candidates, selects as the antecedent the most recent subject matching the anaphor in gender and number (ii) a Baseline Model which checks agreement in number and gender and, if there were still more than one candidate left, picks up as the antecedent the most recent noun phrase that agrees with the anaphor.</S><S sid ="2" ssid = "2">One of the disadvantages of developing a knowledge­ based system, however, is that it is a very labour­ intensive and time-consuming task.</S> | Discourse Facet:  ['Method_Citation', 'Hypothesis_Citation'] | Annotator:  CIST |


Citance Number: 58 | Reference Article:  P98-2143.xml | Citing Article:  W99-0207.xml | Citation Marker Offset:  ['131'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['131'] | Citation Text:  <S sid ="131" ssid = "7">Whereas knowledge-based systems like (Carbonell and Brown, 1988) and (Rich and LuperFoy, 1988) combining multiple resolution strategies are expenÂ­ sive in the cost of human effort at development time and limited ability to scale to new domains, more reÂ­ cent knowledge-poor approaches like (Kennedy and Boguraev, 1996) and (Mitkov, 1998) address the problem without sophisticated linguistic knowledge.</S> | Reference Offset:  ['8', '10', '1', '9'] | Reference Text:  <S sid ="8" ssid = "8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell &amp; Brown 1988; Carter 1987; Hobbs 1978; Ingria &amp; Stallard 1989; Lappin &amp; McCord 1990; Lappin &amp; Leass 1994; Mitkov 1994; Rich &amp; LuperFoy 1988; Sidner 1979; Webber 1979).</S><S sid ="10" ssid = "10">While various alternatives have been proposed, making use of e.g. neural networks, a situation se­ mantics framework, or the principles of reasoning with uncertainty (e.g. Connoly et al. 1994; Mitkov 1995; Tin &amp; Akman 1995), there is still a strong need for the development of robust and effective strategies to meet the demands of practical NLP systems, and to enhance further the automatic pro­ cessing of growing language resources.</S><S sid ="1" ssid = "1">Most traditional approaches to anaphora resolution rely heavily on linguistic and domain knowledge.</S><S sid ="9" ssid = "9">However, to represent and manipulate the various types of linguistic and domain knowledge involved requires considerable human input and computational expense.</S> | Discourse Facet:  ['Method_Citation', 'Aim_Citation'] | Annotator:  CIST |
