Citance Number: 1 | Reference Article:  P05-1053.xml | Citing Article:  C08-1088.xml | Citation Marker Offset:  ['37'] | Citation Marker: 2005 | Citation Offset:  ['36','37'] | Citation Text:  <S sid ="36" ssid = "2">For those interested in feature-based methods, please refer to Zhou et al.</S><S sid ="37" ssid = "3">(2005) for more details.</S> | Reference Offset:  ['57', '162', '163', '25'] | Reference Text:  <S sid ="57" ssid = "13">For details about SVMLight, please see http://svmlight.joachims.org/</S><S sid ="162" ssid = "44">It also shows that feature-based methods dramatically outperform kernel methods.</S><S sid ="163" ssid = "45">This suggests that feature-based methods can effectively combine different features from a variety of sources (e.g. WordNet and gazetteers) that can be brought to bear on relation extraction.</S><S sid ="25" ssid = "25">Qc 2005 Association for Computational Linguistics ture-based approach outperforms tree kernel-based approaches by 11 F-measure in relation detection and more than 20 F-measure in relation detection and classification on the 5 ACE relation types.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |
Citance Number: 68 | Reference Article:  P05-1053.xml | Citing Article:  W06-1634.xml | Citation Marker Offset:  ['17'] | Citation Marker:  Zhou et al., 2005 | Citation Offset:  ['17'] | Citation Text:  <S sid ="17" ssid = "2">A technique that many previous approaches have used is shallow parsing (Koike et al., 2003; Yao et al., 2004; Zhou et al., 2005).</S> | Reference Offset:  ['4', '32', '37', '25'] | Reference Text:  <S sid ="4" ssid = "4">This suggests that most of useful information in full parse trees for relation extraction is shallow and can be captured by chunking.</S><S sid ="32" ssid = "3">Zelenko et al (2003) proposed extracting relations by computing kernel functions between parse trees.</S><S sid ="37" ssid = "8">Tree kernel-based approaches proposed by Zelenko et al (2003) and Culotta et al (2004) are able to explore the implicit feature space without much feature engineering.</S><S sid ="25" ssid = "25">Qc 2005 Association for Computational Linguistics ture-based approach outperforms tree kernel-based approaches by 11 F-measure in relation detection and more than 20 F-measure in relation detection and classification on the 5 ACE relation types.</S> | Discourse Facet:  ['Implication_Citation', 'Method_Citation'] | Annotator:  CIST |


Citance Number: 69 | Reference Article:  P05-1053.xml | Citing Article:  W06-1667.xml | Citation Marker Offset:  ['8'] | Citation Marker:  Zhou et al., 2005 | Citation Offset:  ['8'] | Citation Text:  <S sid ="8" ssid = "8">Prior work on automatic relation extraction come in three kinds: supervised learning algorithms (Miller et al., 2000; Zelenko et al., 2002; Culotta and Soresen, 2004; Kambhatla, 2004; Zhou et al., 2005), semi-supervised learning algorithms (Brin, 1998; Agichtein and Gravano, 2000; Zhang, 2004), and unsupervised learning algorithm (Hasegawa et al., 2004).</S> | Reference Offset:  ['30', '33', '34', '37'] | Reference Text:  <S sid ="30" ssid = "1">The relation extraction task was formulated at the 7th Message Understanding Conference (MUC7 1998) and is starting to be addressed more and more within the natural language processing and machine learning communities.</S><S sid ="33" ssid = "4">Culotta et al (2004) extended this work to estimate kernel functions between augmented dependency trees and achieved 63.2 F-measure in relation detection and 45.8 F-measure in relation detection and classification on the 5 ACE relation types.</S><S sid ="34" ssid = "5">Kambhatla (2004) employed Maximum Entropy models for relation extraction with features derived from word, entity type, mention level, overlap, dependency tree and parse tree.</S><S sid ="37" ssid = "8">Tree kernel-based approaches proposed by Zelenko et al (2003) and Culotta et al (2004) are able to explore the implicit feature space without much feature engineering.</S> | Discourse Facet:  ['Method_Citation', 'Aim_Citation'] | Annotator:  CIST |


Citance Number: 70 | Reference Article:  P05-1053.xml | Citing Article:  W06-1667.xml | Citation Marker Offset:  ['174'] | Citation Marker:  Zhou et al., 2005 | Citation Offset:  ['174'] | Citation Text:  <S sid ="174" ssid = "110">Especially, although we did not concern the dependency tree and full parse tree information as other supervised methods (Miller et al., 2000; Culotta and Soresen, 2004; Kambhatla, 2004; Zhou et al., 2005), the incorporation of simple features, such as words and chunking information, still can provide complement information for capturing the characteristics of entity pairs.</S> | Reference Offset:  ['93', '97', '31', '4'] | Reference Text:  <S sid ="93" ssid = "36">This category of features includes information about the words, part-of-speeches and phrase labels of the words on which the mentions are dependent in the dependency tree derived from the syntactic full parse tree.</S><S sid ="97" ssid = "40">This category of features concerns about the information inherent only in the full parse tree.</S><S sid ="31" ssid = "2">Miller et al (2000) augmented syntactic full parse trees with semantic information corresponding to entities and relations, and built generative models for the augmented trees.</S><S sid ="4" ssid = "4">This suggests that most of useful information in full parse trees for relation extraction is shallow and can be captured by chunking.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 71 | Reference Article:  P05-1053.xml | Citing Article:  W08-0602.xml | Citation Marker Offset:  ['39'] | Citation Marker:  2005 | Citation Offset:  ['39'] | Citation Text:  <S sid ="39" ssid = "39">This follows on from the success of these methods in general NLP (see for example Zhou et al (2005)).</S> | Reference Offset:  ['25', '179', '15', '81'] | Reference Text:  <S sid ="25" ssid = "25">Qc 2005 Association for Computational Linguistics ture-based approach outperforms tree kernel-based approaches by 11 F-measure in relation detection and more than 20 F-measure in relation detection and classification on the 5 ACE relation types.</S><S sid ="179" ssid = "61">8 6 9 . 4 7 2 . 6 General Staff 2 0 1 1 0 8 4 6 71.</S><S sid ="15" ssid = "15">For example, we want to determine whether a person is at a location, based on the evidence in the context.</S><S sid ="81" ssid = "24">Normally, the above overlap features are too general to be effective alone.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 72 | Reference Article:  P05-1053.xml | Citing Article:  W08-0602.xml | Citation Marker Offset:  ['136'] | Citation Marker:  2005 | Citation Offset:  ['136'] | Citation Text:  <S sid ="136" ssid = "51">We use features developed in part from those described in Zhou et al (2005) and Wang et al (2006).</S> | Reference Offset:  ['28', '132', '133', '212'] | Reference Text:  <S sid ="28" ssid = "28">Section 3 and Section 4 describe our approach and various features employed respectively.</S><S sid ="132" ssid = "14">It shows that: Features P R F Words 69.2 23.7 35.3 +Entity Type 67.1 32.1 43.4 +Mention Level 67.1 33.0 44.2 +Overlap 57.4 40.9 47.8 +Chunking 61.5 46.5 53.0 +Dependency Tree 62.1 47.2 53.6 +Parse Tree 62.3 47.6 54.0 +Semantic Resources 63.1 49.5 55.5 Table 2: Contribution of different features over 43 relation subtypes in the test data • Using word features only achieves the performance of 69.2%/23.7%/35.3 in precision/recall/F- measure.</S><S sid ="133" ssid = "15">• Entity type features are very useful and improve the F-measure by 8.1 largely due to the recall increase.</S><S sid ="212" ssid = "94">The effective incorporation of diverse features enables our system outperform previously best- reported systems on the ACE corpus.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 73 | Reference Article:  P05-1053.xml | Citing Article:  W11-1101.xml | Citation Marker Offset:  ['203'] | Citation Marker:  Zhou et al., 2005 | Citation Offset:  ['203'] | Citation Text:  <S sid ="203" ssid = "11">A variety of features have been explored for ERD in previous research (Zhou et al., 2005; Zhou et al., 2008; Jiang and Zhai, 2007; Miller et al., 2000).</S> | Reference Offset:  ['37', '39', '163', '216'] | Reference Text:  <S sid ="37" ssid = "8">Tree kernel-based approaches proposed by Zelenko et al (2003) and Culotta et al (2004) are able to explore the implicit feature space without much feature engineering.</S><S sid ="39" ssid = "10">Complicated relation extraction tasks may also impose a big challenge to the modeling approach used by Miller et al (2000) which integrates various tasks such as part-of-speech tagging, named entity recognition, template element extraction and relation extraction, in a single model.</S><S sid ="163" ssid = "45">This suggests that feature-based methods can effectively combine different features from a variety of sources (e.g. WordNet and gazetteers) that can be brought to bear on relation extraction.</S><S sid ="216" ssid = "98">In the future work, we will focus on exploring more semantic knowledge in relation extraction, which has not been covered by current research.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 74 | Reference Article:  P05-1053.xml | Citing Article:  W11-1101.xml | Citation Marker Offset:  ['10'] | Citation Marker:  Zhou et al., 2005 | Citation Offset:  ['10'] | Citation Text:  <S sid ="10" ssid = "10">Researchers have used supervised and semi-supervised approaches (Hasegawa et al., 2004; Mintz et al., 2009; Jiang, 2009), and explored rich features (Kambhatla, 2004), kernel design (Culotta and Sorensen, 2004; Zhou et al., 2005; Bunescu and Mooney, 2005; Qian et al., 2008) and inference algorithms (Chan and Roth, 2011), to detect predefined relations between NEs.</S> | Reference Offset:  ['33', '37', '34', '24'] | Reference Text:  <S sid ="33" ssid = "4">Culotta et al (2004) extended this work to estimate kernel functions between augmented dependency trees and achieved 63.2 F-measure in relation detection and 45.8 F-measure in relation detection and classification on the 5 ACE relation types.</S><S sid ="37" ssid = "8">Tree kernel-based approaches proposed by Zelenko et al (2003) and Culotta et al (2004) are able to explore the implicit feature space without much feature engineering.</S><S sid ="34" ssid = "5">Kambhatla (2004) employed Maximum Entropy models for relation extraction with features derived from word, entity type, mention level, overlap, dependency tree and parse tree.</S><S sid ="24" ssid = "24">427 Proceedings of the 43rd Annual Meeting of the ACL, pages 427–434, Ann Arbor, June 2005.</S> | Discourse Facet:  ['Method_Citation', 'Aim_Citation'] | Annotator:  CIST |


Citance Number: 75 | Reference Article:  P05-1053.xml | Citing Article:  W11-1815.xml | Citation Marker Offset:  ['10'] | Citation Marker:  Zhou et al., 2005 | Citation Offset:  ['10'] | Citation Text:  <S sid ="10" ssid = "10">BB task example Ureaplasma parvum is a mycoplasma and a pathogenic biology challenges (Kim et al., 2010) and geographical locations (Zhou et al., 2005).</S> | Reference Offset:  ['15', '39', '14', '12'] | Reference Text:  <S sid ="15" ssid = "15">For example, we want to determine whether a person is at a location, based on the evidence in the context.</S><S sid ="39" ssid = "10">Complicated relation extraction tasks may also impose a big challenge to the modeling approach used by Miller et al (2000) which integrates various tasks such as part-of-speech tagging, named entity recognition, template element extraction and relation extraction, in a single model.</S><S sid ="14" ssid = "14">The RDC task detects and classifies implicit and explicit relations1 between entities identified by the EDT task.</S><S sid ="12" ssid = "12">Entities can be of five types: persons, organizations, locations, facilities and geopolitical entities (GPE: geographically defined regions that indicate a political boundary, e.g. countries, states, cities, etc.).</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |
